,Time,HR,HR-LP,Tb,Tb Transformed
351,2013-12-01 16:24,0.0,22.624440454816057,10.045,12.629849386554156
352,2013-12-01 16:28,0.0,22.01886779554516,9.841,12.444949258868593
353,2013-12-01 16:32,49.0,21.500390832184554,9.673,12.292678565480486
354,2013-12-01 16:36,35.0,20.877158598452542,9.472,12.110497557319714
355,2013-12-01 16:40,32.0,20.103494206705058,9.301,11.95550774440682
356,2013-12-01 16:44,36.0,19.208162499595513,9.134,11.804143424193638
357,2013-12-01 16:48,31.0,18.183181023094097,8.965,11.650966357630601
358,2013-12-01 16:52,0.0,17.101881070772603,8.839,11.53676333758952
359,2013-12-01 16:56,0.0,16.103959111374778,8.703,11.413496585799145
360,2013-12-01 17:00,0.0,15.249614233279626,8.557,11.28116610225948
361,2013-12-01 17:04,0.0,14.531229406216863,8.423,11.159712096818964
362,2013-12-01 17:08,0.0,13.942399770610747,8.276,11.02647524010437
363,2013-12-01 17:12,0.0,13.477875534166099,8.122,10.88689377116527
364,2013-12-01 17:16,0.0,13.133515166616862,8.008,10.783567229223339
365,2013-12-01 17:20,26.0,12.848296823697279,7.832,10.624045550435797
366,2013-12-01 17:24,0.0,12.561725950066007,7.678,10.484464081496697
367,2013-12-01 17:28,24.0,12.275705402704807,7.528,10.348508105257315
368,2013-12-01 17:32,25.0,11.936420203142887,7.401,10.233398712041303
